<body><p>Number of Form I-130 Petition for Alien Relative,,,,,,,,,,,,,
"By Category, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,
"July 1, 2023 - Septembe  30, 2023",,,,,,,,,,,,,
,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Immediate Relative1,Immediate Relative1,Immediate Relative1,Immediate Relative1,All Other Relative2,All Other Relative2,All Other Relative2,All Other Relative2,Total,Total,Total,Total
Field Office by State7,Field Office Code,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6,Petitions Received3,Approved4,Denied5,Pending6
2 All Other Relatives refers to petitions to sponsor relatives under Family-Based Preferences.,,,,,,,,,,,,,
3 The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,
4 The number of petitions approved during the reporting period.,,,,,,,,,,,,,
5 The number of petitions denied during the reporting period.,,,,,,,,,,,,,
6 The number of petitions awaiting a decision as of the end of the reporting period. Some actions taken on cases are not reflected in this report such as administrative closures and transfers between offices;,,,,,,,,,,,,,
 thus the total pending counts cannot be calculated using data from previous reporting periods.,,,,,,,,,,,,,
7 Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,
"1) Some petitions approved, denied, or pending a decision may have been received in previous reporting periods. ",,,,,,,,,,,,,
2) The report reflects the most up-to-date estimate available at the time the database is queried.,,,,,,,,,,,,,
3) Counts may differ from previous periods due to system updates and post-adjudicative outcomes.,,,,,,,,,,,,,
4) These counts do not include international offices.,,,,,,,,,,,,,
"5) Many USCIS international offices have permanently closed in the last two years; for a list of those offices, please see https://www.uscis.gov/about-us/uscis-office-closings",,,,,,,,,,,,,
"6) For a complete list of USCIS forms and descriptions, visit https://www.uscis.gov/forms",,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Department of Homeland Security, U.S. Citizenship and Immigration Services, Office of Performance and Quality",,,,,,,,,,,,,
"PRT, queried 10/2023, TRK 13212",,,,,,,,,,,,,</p></body>
