,,,,,,,,,,,,,,,

USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,

,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,

,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,

 ,,,,,,,,,,,,,,,

Total,,," 155,598 "," 126,279 "," 10,310 "," 453,895 "," 61,117 "," 8,101 "," 3,943 "," 781,564 "," 216,715 "," 134,380 "," 14,253 "," 1,235,459 ",

Field Office by State6,,,,,,,,,,,,,,,

,,Field Office Code,,,,,,,,,,,,,

Alaska,,,,,,,,,,,,,,,

,Spokane ,SPO, 62 , 95 , D , 119 , -   , -   , -   , D , 62 , 95 , D , 121 ,

,Yakima,YAK, 142 , 166 , D , 230 , -   , D , -   , -   , 142 , 169 , D , 230 ,

Wisconsin,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Milwaukee ,MIL, 332 , 245 , 17 ," 1,117 ", -   , D , D , 19 , 332 , 251 , 19 ," 1,136 ",

Field Office by Territory6,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

Guam,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Agana,AGA, 135 , 137 , 24 , 304 , -   , D , 17 , 41 , 135 , 143 , 41 , 345 ,

U.S. Virgin Islands,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,Charlotte Amalie,CHA, 24 , 43 , 10 , 50 , -   , -   , -   , -   , 24 , 43 , 10 , 50 ,

,Christiansted ,CHR, D , D , -   , 25 , -   , -   , -   , -   , D , D , -   , 25 ,

Puerto Rico,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,San Juan ,SAJ, 124 , 136 , 11 , 367 , D , D , D , D , 126 , 137 , 12 , 376 ,

Service Center,,,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,

,California,WSC, 401 , 793 , 315 ," 6,654 "," 59,633 "," 4,903 "," 1,560 "," 636,423 "," 60,034 "," 5,696 "," 1,875 "," 643,077 ",

,Nebraska,NSC," 26,567 "," 29,758 "," 2,403 "," 93,720 ", 392 , 727 , 266 ," 2,246 "," 26,959 "," 30,485 "," 2,669 "," 95,966 ",

,Texas,SSC," 41,384 "," 25,613 ", 884 ," 84,819 ", 702 , 635 , 174 ," 1,709 "," 42,086 "," 26,248 "," 1,058 "," 86,528 ",

,Vermont,ESC, D , 204 , 966 ," 5,299 ", D , 460 ," 1,631 "," 137,501 ", D , 664 ," 2,597 "," 142,800 ",

,Potomac,YSC," 16,808 "," 13,601 ", 755 ," 37,785 ", 262 , 356 , 34 , 389 ," 17,070 "," 13,957 ", 789 ," 38,174 ",

,,,,,,,,,,,,,,,

D  Data withheld to protect individuals' privacy.,,,,,,,,,,,,,,,

- Represents zero,,,,,,,,,,,,,,,

"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences. International field offices only accept Form I-130 filings for, ",,,,,,,,,,,,,,,

    immediate relatives of U.S. citizens residing in the country in which the field office is located. ,,,,,,,,,,,,,,,

2  The number of new petitions received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,

3  The number of petitions approved during the reporting period.,,,,,,,,,,,,,,,

"4  The number of petitions that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,

5  The number of petitions awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,

6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,

"NOTE:  1) Some petitions approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,,

             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,

"Sources:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Reporting Tool, June 2017; Department of Homeland Security, U.S. Citizenship and Immigration Services, CAMINO, June 2017.",,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,

USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,

,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,

,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,

 ,,,,,,,,,,,,,,,

Total,,," 1,694 "," 1,693 ", 32 , 693 , N/A , N/A , N/A , N/A ," 1,694 "," 1,693 ", 32 , 693 ,

,,,,,,,,,,,,,,,

International Field Office by Country,,,,,,,,,,,,,,,

China,,, , , , , , , , ,,,,,

,Beijing,BEI,67,47,0,37,N/A,N/A,N/A,N/A,67,47,0,37,

,Guangzhou,GZH,71,84,0,D,N/A,N/A,N/A,N/A,71,84,0,D,

Cuba,,,,,,, , , , , , , , ,

,Havana,HAV, D , D ,0,D,N/A,N/A,N/A,N/A,D,D,0,D,

Dominican Republic,,,,,,, , , , , , , , ,

,Santo Domingo,SDM,88,89,D,16,N/A,N/A,N/A,N/A,88,89,D,16,

El Salvador,,,,,,, , , , , , , , ,

,San Salvador,SNS,17,15,0,14,N/A,N/A,N/A,N/A,17,15,0,14,

Germany,,,,,,, , , , , , , , ,

,Frankfurt,FKG,262,243,D,153,N/A,N/A,N/A,N/A,262,243,D,153,

Ghana,,,,,,, , , , , , , , ,

,Accra,ACG,D,D,0,D,N/A,N/A,N/A,N/A,D,D,0,D,

Greece,,,,,,, , , , , , , , ,

,Athens,ATH,47,39,0,10,N/A,N/A,N/A,N/A,47,39,0,10,

Guatemala,,,,,,, , , , , , , , ,

,Guatemala City,GTM,20,24,D,D,N/A,N/A,N/A,N/A,20,24,D,D,

Haiti,,,,,,, , , , , , , , ,

,Port-au-Prince,PAP,12,D,0,D,N/A,N/A,N/A,N/A,12,D,0,D,

India,,,,,,, , , , , , , , ,

,New Delhi,NDI,40,38,D,D,N/A,N/A,N/A,N/A,40,38,D,D,

Italy,,,,,,, , , , , , , , ,

,Rome,RIT,88,74,D,38,N/A,N/A,N/A,N/A,88,74,D,38,

Jordan,,,,,,, , , , , , , , ,

,Amman,AMM,93,124,D,109,N/A,N/A,N/A,N/A,93,124,D,109,

Kenya,,,,,,, , , , , , , , ,

,Nairobi,NBO,D,10,0,D,N/A,N/A,N/A,N/A,D,10,0,D,

Mexico,,,,,,, , , , , , , , ,

,Ciudad Juarez,CDJ,25,24,0,D,N/A,N/A,N/A,N/A,25,24,0,D,

,Mexico City,MEX,47,37,0,14,N/A,N/A,N/A,N/A,47,37,0,14,

,Monterrey,MTR,12,11,0,D,N/A,N/A,N/A,N/A,12,11,0,D,

Peru,,,,,,, , , , , , , , ,

,Lima,LIM,30,24,0,11,N/A,N/A,N/A,N/A,30,24,0,11,

Philippines,,,,,,, , , , , , , , ,

,Manila,MPH,112,90,D,50,N/A,N/A,N/A,N/A,112,90,D,50,

Russia,,,,,,, , , , , , , , ,

,Moscow,MOS,21,23,0,0,N/A,N/A,N/A,N/A,21,23,0,0,

South Africa,,,,,,, , , , , , , , ,

,Johannesburg,JHS,17,21,0,D,N/A,N/A,N/A,N/A,17,21,0,D,

South Korea,,,,,,, , , , , , , , ,

,Seoul,SEK,257,163,D,144,N/A,N/A,N/A,N/A,257,163,D,144,

Thailand,,,,,,, , , , , , , , ,

,Bangkok,BKK,45,35,D,18,N/A,N/A,N/A,N/A,45,35,D,18,

United Kingdom,,,,,,, , , , , , , , ,

,London,LDN,304,467,D,31,N/A,N/A,N/A,N/A,304,467,D,31,

,,,,,,,,,,,,,,,

D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,,

- Represents zero,,,,,,,,,,,,,,,

"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences. International Field Offices only accept I-130 filings for ",,,,,,,,,,,,,,,

    immediate relatives of U.S. citizens residing in the country in which the Field Office is located. ,,,,,,,,,,,,,,,

2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,,

3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,,

"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,,

5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,,

6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,,

"NOTE:  1) Some applications approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,,

             2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,,

"Sources:   Department of Homeland Security, U.S. Citizenship and Immigration Services, CAMINO, July 2017.",,,,,,,,,,,,,,,
